,CM_M_CM_M_01_Breast,CM_M_CM_M_02_Breast,CR_M_CR_M_01_Breast,CR_M_CR_M_02_Breast,H_M_H_M_01_Breast,H_M_H_M_02_Breast
537,6.58438859763,5.81522590704,2.73578880669,7.31811072827,9.39950787721,8.90988108377
538,6.55605882397,5.84437743058,2.82668728051,7.48497180978,9.58543212816,9.0118376129
539,6.55946831151,5.86069899035,2.92940991169,7.65274579687,9.82124087814,9.06714353705
540,6.591400926,5.86429396912,3.01227836122,7.78492476665,10.0138136501,9.11421874664
541,6.55139830478,5.86630716752,3.07825472353,7.94160603906,10.1563414338,9.13168087303
542,6.49834321459,5.84746492466,3.15738105885,8.08439320612,10.3043465849,9.1534516963
543,6.44296798558,5.84002608505,3.24406725103,8.19754634073,10.4525445351,9.1602287203
544,6.38858852864,5.81557545353,3.31713944703,8.30670063,10.5313224716,9.13464841809
545,6.33543438417,5.77352493032,3.39844883437,8.40571799927,10.6375117411,9.10306005426
546,6.25429276027,5.73876747198,3.46113233408,8.50229713215,10.6955095495,9.06104260711
547,6.14112249049,5.70040643973,3.528917167,8.55965970422,10.7485184567,8.98863553015
548,6.01461228024,5.63877892369,3.59078387262,8.61444199658,10.8175817486,8.9099318541
549,5.85746689834,5.54408335477,3.64791982872,8.66657579619,10.8098934846,8.80620199093
550,5.75342928373,5.47325598868,3.69779814201,8.71892494859,10.8138721577,8.70666609714
551,5.59758209782,5.39016388912,3.74330024108,8.74674900411,10.7487087351,8.58958509554
552,5.4516034669,5.28998136023,3.79568874808,8.75096533445,10.7271790327,8.46840108889
553,5.32709210031,5.20396186559,3.84075035523,8.75273584879,10.6980229628,8.35073761843
554,5.1665214744,5.09889645741,3.88631154973,8.73275635318,10.6113934666,8.20376366829
555,5.03491834184,4.97971999389,3.91846046307,8.70103553417,10.5532161846,8.03839135845
556,4.86728400404,4.88308997919,3.9556128564,8.67287846838,10.4540231652,7.83252673897
557,4.71622001799,4.77147226349,3.98008594698,8.64197403148,10.2577320533,7.66622707934
558,4.58081845667,4.65402811889,4.00887901008,8.57388769062,10.1205325551,7.51765103701
559,4.43159085357,4.53395381571,4.02843645348,8.50468982528,9.93276323825,7.27844600258
560,4.26460100174,4.40558626831,4.03688496144,8.4364658449,9.80260212492,7.076702688
561,4.11393330869,4.27047994527,4.02828017554,8.37312112047,9.63549625356,6.87683599883
562,3.98318165314,4.14983793704,4.02656476768,8.29357626078,9.46089420768,6.64581555763
563,3.83453984901,4.02687502549,4.01992893552,8.19084657414,9.22712889876,6.44204604211
564,3.69465639392,3.91228753741,4.01608902024,8.06896192334,8.97660542659,6.21973911022
565,3.55676418628,3.81428286019,3.98739097938,7.90890156948,8.76016123539,5.99781273623
566,3.42528922307,3.70481123838,3.964587136,7.77312064612,8.52610863516,5.76249981378
567,3.30633878874,3.61510613202,3.93471384862,7.64477946587,8.27114483046,5.54576539503
568,3.15914519565,3.50934597577,3.89848594739,7.47591859517,8.06578477117,5.33449431638
569,3.05152222644,3.39337908272,3.86564594893,7.31564735636,7.800273239,5.12301424716
570,2.93936440653,3.29059034047,3.83114956838,7.15222004154,7.52937627453,4.90814871273
571,2.82536185386,3.18020802771,3.79629313564,6.98167888606,7.25711301519,4.65873118229
572,2.71057644979,3.08139261776,3.75688233721,6.83348924334,6.99391079941,4.44111828218
